Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
"1002807","Aarau","Aarau,Aargau,Switzerland","20126","CH","City",Active
"1002808","Aarburg","Aarburg,Aargau,Switzerland","20126","CH","City",Active
"1002809","Baden","Baden,Aargau,Switzerland","20126","CH","City",Active
"1002810","Brittnau","Brittnau,Aargau,Switzerland","20126","CH","City",Active
"1002811","Brugg","Brugg,Aargau,Switzerland","20126","CH","City",Active
"1002812","Remetschwil","Remetschwil,Aargau,Switzerland","20126","CH","City",Active
"1002813","Frick","Frick,Aargau,Switzerland","20126","CH","City",Active
"1002814","Granichen","Granichen,Aargau,Switzerland","20126","CH","City",Active
"1002815","Hirschthal","Hirschthal,Aargau,Switzerland","20126","CH","City",Active
"1002816","Holderbank","Holderbank,Aargau,Switzerland","20126","CH","City",Active
"1002817","Hunzenschwil","Hunzenschwil,Aargau,Switzerland","20126","CH","City",Active
"1002818","Kaiseraugst","Kaiseraugst,Aargau,Switzerland","20126","CH","City",Active
"1002820","Bottstein","Bottstein,Aargau,Switzerland","20126","CH","City",Active
"1002821","Kolliken","Kolliken,Aargau,Switzerland","20126","CH","City",Active
"1002822","Laufenburg","Laufenburg,Aargau,Switzerland","20126","CH","City",Active
"1002823","Leibstadt","Leibstadt,Aargau,Switzerland","20126","CH","City",Active
"1002824","Lenzburg","Lenzburg,Aargau,Switzerland","20126","CH","City",Active
"1002825","Leuggern","Leuggern,Aargau,Switzerland","20126","CH","City",Active
"1002826","Lupfig","Lupfig,Aargau,Switzerland","20126","CH","City",Active
"1002827","Mellingen","Mellingen,Aargau,Switzerland","20126","CH","City",Active
"1002828","Menziken","Menziken,Aargau,Switzerland","20126","CH","City",Active
"1002829","Mohlin","Mohlin,Aargau,Switzerland","20126","CH","City",Active
"1002830","Muhen","Muhen,Aargau,Switzerland","20126","CH","City",Active
"1002831","Neuenhof","Neuenhof,Aargau,Switzerland","20126","CH","City",Active
"1002832","Niederlenz","Niederlenz,Aargau,Switzerland","20126","CH","City",Active
"1002833","Niederrohrdorf","Niederrohrdorf,Aargau,Switzerland","20126","CH","City",Active
"1002834","Oberentfelden","Oberentfelden,Aargau,Switzerland","20126","CH","City",Active
"1002835","Oberrohrdorf","Oberrohrdorf,Aargau,Switzerland","20126","CH","City",Active
"1002836","Oftringen","Oftringen,Aargau,Switzerland","20126","CH","City",Active
"1002837","Rheinfelden","Rheinfelden,Aargau,Switzerland","20126","CH","City",Active
"1002839","Rothrist","Rothrist,Aargau,Switzerland","20126","CH","City",Active
